"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dicn-laptop",,,,"User:","root"
"Cmdline:","dstat -mnc --output loichttp.csv",,,,"Date:","03 May 2015 12:14:36 CEST"

"memory usage",,,,"net/total",,"total cpu usage",,,,,
"used","buff","cach","free","recv","send","usr","sys","idl","wai","hiq","siq"
582115328.0,141578240.0,640847872.0,597049344.0,0.0,0.0,8.153,4.251,84.330,1.350,0.009,1.906
584994816.0,141578240.0,640815104.0,594202624.0,55915.0,59025.0,8.500,1.500,89.500,0.0,0.0,0.500
588251136.0,141578240.0,642744320.0,589017088.0,44896.0,65208.0,26.131,3.015,70.352,0.0,0.0,0.503
591372288.0,141578240.0,642756608.0,585883648.0,9469.0,15675.0,8.0,2.0,90.0,0.0,0.0,0.0
594571264.0,141578240.0,642719744.0,582721536.0,9567.0,15675.0,8.122,1.015,90.863,0.0,0.0,0.0
594550784.0,141578240.0,642723840.0,582737920.0,344.0,0.0,7.960,0.995,91.045,0.0,0.0,0.0
594542592.0,141586432.0,642723840.0,582737920.0,128.0,0.0,7.500,0.500,88.500,3.500,0.0,0.0
594542592.0,141586432.0,642723840.0,582737920.0,6454.0,5400.0,8.500,1.0,90.500,0.0,0.0,0.0
594669568.0,141586432.0,642723840.0,582610944.0,1802.0,1350.0,8.500,0.500,91.0,0.0,0.0,0.0
594522112.0,141586432.0,642723840.0,582758400.0,38994.0,68613.0,10.0,2.0,87.500,0.0,0.0,0.500
594886656.0,141586432.0,642736128.0,582381568.0,9623.0,15675.0,8.458,0.995,90.547,0.0,0.0,0.0
595030016.0,141594624.0,642736128.0,582230016.0,8977.0,15675.0,8.081,0.505,91.414,0.0,0.0,0.0
595070976.0,141594624.0,642744320.0,582180864.0,254.0,42.0,7.960,0.995,91.045,0.0,0.0,0.0
594989056.0,141594624.0,642744320.0,582262784.0,128.0,0.0,7.463,1.493,91.045,0.0,0.0,0.0
595533824.0,141594624.0,642768896.0,581693440.0,26481.0,61743.0,8.458,2.985,88.060,0.0,0.0,0.498
595394560.0,141594624.0,642781184.0,581820416.0,54231.0,39735.0,7.614,1.015,91.371,0.0,0.0,0.0
595398656.0,141602816.0,642764800.0,581824512.0,62.0,0.0,7.960,0.498,90.547,0.995,0.0,0.0
595390464.0,141602816.0,642764800.0,581832704.0,132.0,0.0,7.463,1.493,91.045,0.0,0.0,0.0
595390464.0,141602816.0,642764800.0,581832704.0,368.0,0.0,7.538,0.503,91.960,0.0,0.0,0.0
595406848.0,141602816.0,642764800.0,581816320.0,6734.0,5886.0,7.538,1.005,91.457,0.0,0.0,0.0
595423232.0,141602816.0,642764800.0,581799936.0,2718.0,2214.0,7.0,1.500,91.500,0.0,0.0,0.0
596680704.0,141611008.0,642793472.0,580505600.0,254.0,27378.0,8.458,1.990,88.557,0.995,0.0,0.0
595685376.0,141611008.0,643076096.0,581218304.0,56988.0,66672.0,10.050,1.005,88.442,0.0,0.0,0.503
595603456.0,141611008.0,643031040.0,581345280.0,260.0,0.0,8.0,0.500,91.500,0.0,0.0,0.0
595738624.0,141611008.0,642752512.0,581488640.0,260.0,0.0,8.458,1.493,90.050,0.0,0.0,0.0
595632128.0,141611008.0,642777088.0,581570560.0,132.0,0.0,7.500,1.500,91.0,0.0,0.0,0.0
595607552.0,141619200.0,642768896.0,581595136.0,3074.0,2754.0,9.045,1.005,89.447,0.503,0.0,0.0
595623936.0,141619200.0,642777088.0,581570560.0,6582.0,5346.0,9.406,1.980,88.614,0.0,0.0,0.0
595910656.0,141619200.0,642777088.0,581283840.0,73246.0,94050.0,10.152,1.523,87.310,0.0,0.0,1.015
595951616.0,141619200.0,642801664.0,581218304.0,190.0,0.0,8.500,1.500,90.0,0.0,0.0,0.0
595951616.0,141619200.0,642801664.0,581218304.0,256.0,0.0,8.0,1.500,90.500,0.0,0.0,0.0
595951616.0,141619200.0,642801664.0,581218304.0,314.0,0.0,9.0,1.0,90.0,0.0,0.0,0.0
595947520.0,141627392.0,642797568.0,581218304.0,122.0,0.0,9.0,0.500,90.0,0.500,0.0,0.0
595943424.0,141627392.0,642801664.0,581218304.0,9128.0,8100.0,9.045,1.005,89.950,0.0,0.0,0.0
595943424.0,141627392.0,642801664.0,581218304.0,128.0,0.0,9.045,1.005,89.950,0.0,0.0,0.0
596144128.0,141627392.0,642801664.0,581017600.0,56858.0,94050.0,12.500,2.0,85.0,0.0,0.0,0.500
596267008.0,141627392.0,642822144.0,580874240.0,320.0,0.0,8.500,1.0,90.500,0.0,0.0,0.0
596267008.0,141635584.0,642813952.0,580874240.0,218.0,0.0,7.107,1.523,89.340,2.030,0.0,0.0
596275200.0,141635584.0,642822144.0,580857856.0,316.0,0.0,9.500,0.500,90.0,0.0,0.0,0.0
596226048.0,141635584.0,642822144.0,580907008.0,66.0,0.0,7.614,0.508,91.878,0.0,0.0,0.0
596258816.0,141635584.0,642822144.0,580874240.0,9128.0,8100.0,8.586,2.020,89.394,0.0,0.0,0.0
596332544.0,141635584.0,642826240.0,580796416.0,252.0,0.0,9.500,1.0,89.500,0.0,0.0,0.0
596283392.0,141643776.0,642826240.0,580837376.0,76712.0,94050.0,10.553,2.513,84.422,2.010,0.0,0.503
596316160.0,141643776.0,642850816.0,580780032.0,132.0,0.0,9.500,0.500,90.0,0.0,0.0,0.0
596316160.0,141643776.0,642850816.0,580780032.0,194.0,0.0,8.500,1.500,90.0,0.0,0.0,0.0
596316160.0,141643776.0,642850816.0,580780032.0,194.0,0.0,9.0,1.500,89.500,0.0,0.0,0.0
596332544.0,141643776.0,642850816.0,580763648.0,66.0,0.0,9.596,0.505,89.899,0.0,0.0,0.0
596463616.0,141651968.0,642805760.0,580669440.0,9194.0,8100.0,9.548,1.005,86.935,2.513,0.0,0.0
596434944.0,141651968.0,642850816.0,580653056.0,132.0,0.0,9.548,1.005,89.447,0.0,0.0,0.0
596312064.0,141651968.0,642854912.0,580771840.0,55770.0,94050.0,12.563,3.015,84.422,0.0,0.0,0.0
596226048.0,141651968.0,642875392.0,580837376.0,346.0,0.0,10.050,0.503,89.447,0.0,0.0,0.0
