"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dicn-laptop",,,,"User:","root"
"Cmdline:","dstat -mnc --output loictcp.csv",,,,"Date:","03 May 2015 12:04:02 CEST"

"memory usage",,,,"net/total",,"total cpu usage",,,,,
"used","buff","cach","free","recv","send","usr","sys","idl","wai","hiq","siq"
562221056.0,140845056.0,637767680.0,620756992.0,0.0,0.0,7.778,3.665,85.641,1.598,0.006,1.312
562180096.0,140845056.0,637816832.0,620748800.0,282.0,0.0,8.911,0.990,90.099,0.0,0.0,0.0
562298880.0,140845056.0,639737856.0,618708992.0,108934.0,86556.0,24.0,4.500,69.500,0.0,0.0,2.0
562503680.0,140845056.0,640008192.0,618233856.0,290228.0,157152.0,8.021,2.674,88.235,0.0,0.0,1.070
562868224.0,140845056.0,639946752.0,617930752.0,410622.0,195450.0,8.242,2.747,88.462,0.0,0.0,0.549
563019776.0,140845056.0,639983616.0,617742336.0,542820.0,250044.0,8.939,3.911,86.034,0.0,0.0,1.117
563126272.0,140853248.0,640045056.0,617566208.0,618540.0,260346.0,8.939,3.352,82.682,3.352,0.0,1.676
563597312.0,140853248.0,639827968.0,617312256.0,681240.0,284808.0,9.170,17.904,65.502,0.0,0.437,6.987
563691520.0,140853248.0,640114688.0,616931328.0,751328.0,312996.0,6.468,10.945,73.632,0.0,0.0,8.955
563851264.0,140853248.0,640081920.0,616804352.0,803934.0,333354.0,9.605,6.215,83.051,0.0,0.0,1.130
564047872.0,140853248.0,639836160.0,616853504.0,884450.0,366132.0,9.302,5.233,84.302,0.0,0.0,1.163
564142080.0,140861440.0,640036864.0,616550400.0,942332.0,386436.0,10.734,7.345,77.966,1.695,0.0,2.260
564269056.0,140861440.0,640086016.0,616374272.0,1015530.0,410412.0,24.766,18.224,50.467,0.0,0.0,6.542
564404224.0,140861440.0,637935616.0,618389504.0,1066146.0,434874.0,7.725,20.172,58.369,0.0,0.429,13.305
564539392.0,140861440.0,637960192.0,618229760.0,1177808.0,482286.0,9.581,7.186,79.641,0.0,0.0,3.593
