"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dicn-laptop",,,,"User:","root"
"Cmdline:","dstat -mnc --output loicudp.csv",,,,"Date:","03 May 2015 12:12:06 CEST"

"memory usage",,,,"net/total",,"total cpu usage",,,,,
"used","buff","cach","free","recv","send","usr","sys","idl","wai","hiq","siq"
582557696.0,141381632.0,640880640.0,596770816.0,0.0,0.0,8.115,4.396,84.198,1.393,0.009,1.889
582475776.0,141381632.0,640901120.0,596832256.0,263210.0,82.0,6.154,1.026,92.308,0.0,0.0,0.513
582725632.0,141381632.0,642834432.0,594649088.0,374506.0,82.0,23.116,2.513,71.357,0.0,0.0,3.015
582656000.0,141381632.0,642854912.0,594698240.0,495878.0,82.0,7.653,1.020,90.816,0.0,0.0,0.510
582737920.0,141381632.0,642883584.0,594587648.0,565520.0,82.0,7.732,1.031,90.722,0.0,0.0,0.515
582750208.0,141381632.0,642936832.0,594522112.0,620654.0,124.0,8.290,1.036,90.674,0.0,0.0,0.0
582832128.0,141389824.0,642895872.0,594472960.0,682696.0,82.0,7.216,0.515,88.144,3.093,0.0,1.031
582815744.0,141389824.0,642895872.0,594489344.0,735918.0,82.0,7.692,1.026,89.231,0.0,0.0,2.051
582782976.0,141389824.0,642895872.0,594522112.0,803530.0,82.0,7.330,1.047,91.623,0.0,0.0,0.0
582717440.0,141389824.0,642899968.0,594583552.0,892326.0,124.0,6.842,1.053,91.579,0.0,0.0,0.526
582868992.0,141389824.0,642904064.0,594427904.0,955274.0,82.0,7.772,2.073,90.155,0.0,0.0,0.0
582762496.0,141398016.0,642875392.0,594554880.0,1015740.0,82.0,6.771,1.562,87.500,3.125,0.0,1.042
582885376.0,141398016.0,642826240.0,594481152.0,1074792.0,82.0,7.772,1.554,89.119,0.0,0.0,1.554
582963200.0,141398016.0,642699264.0,594530304.0,1133776.0,82.0,7.407,1.058,91.005,0.0,0.0,0.529
582979584.0,141398016.0,642617344.0,594595840.0,1189946.0,82.0,7.407,2.116,90.476,0.0,0.0,0.0
583045120.0,141398016.0,642617344.0,594530304.0,1253894.0,82.0,7.368,2.105,90.0,0.0,0.0,0.526
583045120.0,141398016.0,642617344.0,594530304.0,1313414.0,82.0,7.979,1.064,89.894,0.0,0.0,1.064
583028736.0,141406208.0,642617344.0,594538496.0,1373124.0,82.0,6.915,1.596,87.766,1.596,0.0,2.128
583061504.0,141406208.0,642617344.0,594505728.0,1427172.0,82.0,6.989,1.613,90.323,0.0,0.0,1.075
582979584.0,141406208.0,642617344.0,594587648.0,1437068.0,82.0,8.152,0.543,90.761,0.0,0.0,0.543
583004160.0,141406208.0,642641920.0,594538496.0,1545682.0,82.0,9.140,1.075,89.247,0.0,0.0,0.538
583073792.0,141406208.0,642621440.0,594489344.0,1607888.0,82.0,10.270,0.541,89.189,0.0,0.0,0.0
583065600.0,141414400.0,642621440.0,594489344.0,1665554.0,82.0,7.447,2.128,86.702,1.064,0.0,2.660
582873088.0,141414400.0,642654208.0,594649088.0,1725796.0,82.0,7.065,0.543,89.130,0.0,0.0,3.261
582934528.0,141414400.0,642654208.0,594587648.0,1780508.0,82.0,8.791,0.549,89.560,0.0,0.0,1.099
582950912.0,141414400.0,642654208.0,594571264.0,1844420.0,82.0,9.290,1.093,89.071,0.0,0.0,0.546
583000064.0,141414400.0,642654208.0,594522112.0,1904590.0,82.0,9.783,1.630,88.043,0.0,0.0,0.543
583000064.0,141422592.0,642916352.0,594251776.0,1995494.0,82.0,7.735,1.657,87.845,1.105,0.0,1.657
583000064.0,141422592.0,642891776.0,594276352.0,2054952.0,82.0,21.505,0.538,67.742,0.0,0.0,10.215
582914048.0,141422592.0,640868352.0,596385792.0,2081828.0,82.0,8.989,0.562,89.326,0.0,0.0,1.124
582905856.0,141422592.0,640827392.0,596434944.0,2106738.0,82.0,7.821,2.235,88.827,0.0,0.0,1.117
582955008.0,141422592.0,640827392.0,596385792.0,2161756.0,124.0,11.111,1.667,87.222,0.0,0.0,0.0
582950912.0,141430784.0,640806912.0,596402176.0,2221628.0,82.0,8.840,1.657,85.083,2.762,0.0,1.657
582914048.0,141430784.0,640827392.0,596418560.0,2291954.0,82.0,7.955,0.568,88.636,0.0,0.0,2.841
582930432.0,141430784.0,640827392.0,596402176.0,2342054.0,82.0,6.818,0.568,89.773,0.0,0.0,2.841
582897664.0,141430784.0,640827392.0,596434944.0,2387286.0,82.0,10.056,1.117,87.151,0.0,0.0,1.676
582864896.0,141430784.0,640827392.0,596467712.0,2454488.0,82.0,10.286,1.143,88.0,0.0,0.0,0.571
582893568.0,141430784.0,640831488.0,596434944.0,2521400.0,82.0,8.523,1.136,88.636,0.0,0.0,1.705
582901760.0,141438976.0,640831488.0,596418560.0,2585114.0,82.0,8.242,1.099,81.319,3.297,0.0,6.044
582914048.0,141438976.0,640835584.0,596402176.0,2645964.0,82.0,6.742,0.0,86.517,0.0,0.0,6.742
582897664.0,141438976.0,640835584.0,596418560.0,2695218.0,82.0,9.714,1.143,88.0,0.0,0.0,1.143
582881280.0,141438976.0,640835584.0,596434944.0,2744984.0,82.0,11.111,1.111,85.0,0.0,0.0,2.778
582881280.0,141438976.0,640835584.0,596434944.0,2812086.0,82.0,8.475,1.695,87.571,0.0,0.0,2.260
582864896.0,141447168.0,640835584.0,596443136.0,2875868.0,82.0,8.671,1.156,84.393,3.468,0.0,2.312
582807552.0,141447168.0,640860160.0,596475904.0,2937434.0,82.0,7.602,1.170,87.719,0.0,0.0,3.509
582840320.0,141447168.0,640860160.0,596443136.0,2977382.0,82.0,8.772,0.0,88.304,0.0,0.0,2.924
582860800.0,141447168.0,640839680.0,596443136.0,3046582.0,82.0,9.467,1.183,88.166,0.0,0.0,1.183
582844416.0,141447168.0,640839680.0,596459520.0,3114428.0,82.0,9.467,0.592,88.757,0.0,0.0,1.183
582905856.0,141455360.0,640851968.0,596377600.0,3175394.0,82.0,8.824,2.353,84.118,3.529,0.0,1.176
582856704.0,141455360.0,640851968.0,596426752.0,3244752.0,82.0,3.448,1.149,85.632,0.0,0.0,9.770
582873088.0,141455360.0,640851968.0,596410368.0,3286328.0,82.0,6.322,0.575,86.207,0.0,0.0,6.897
582905856.0,141455360.0,640851968.0,596377600.0,3350952.0,82.0,11.243,0.592,86.982,0.0,0.0,1.183
582823936.0,141455360.0,640851968.0,596459520.0,3408608.0,166.0,9.467,1.775,86.982,0.0,0.0,1.775
582836224.0,141463552.0,640880640.0,596410368.0,3468200.0,82.0,10.119,1.190,85.714,1.190,0.0,1.786
582819840.0,141463552.0,640880640.0,596426752.0,3516126.0,82.0,8.929,0.595,86.310,0.0,0.0,4.167
582737920.0,141463552.0,640880640.0,596508672.0,3578116.0,82.0,9.524,1.190,85.714,0.0,0.0,3.571
582770688.0,141463552.0,640880640.0,596475904.0,3669618.0,82.0,9.357,0.0,84.211,0.0,0.0,6.433
582733824.0,141463552.0,640860160.0,596533248.0,3722710.0,82.0,12.500,1.190,85.714,0.0,0.0,0.595
582758400.0,141471744.0,640860160.0,596500480.0,3780546.0,82.0,9.091,2.424,83.636,2.424,0.0,2.424
582807552.0,141471744.0,640892928.0,596418560.0,3781634.0,82.0,5.988,1.198,86.228,0.0,0.0,6.587
582725632.0,141471744.0,640892928.0,596500480.0,3845946.0,82.0,8.284,0.0,84.024,0.0,0.0,7.692
582647808.0,141471744.0,641130496.0,596340736.0,3912542.0,82.0,10.241,1.205,85.542,0.0,0.0,3.012
582864896.0,141504512.0,640847872.0,596373504.0,3963856.0,82.0,11.585,1.220,74.390,10.976,0.0,1.829
583008256.0,141504512.0,640880640.0,596197376.0,4012874.0,82.0,12.195,1.220,85.976,0.0,0.0,0.610
582918144.0,141504512.0,640761856.0,596406272.0,4050308.0,82.0,9.816,1.227,86.503,0.0,0.0,2.454
582844416.0,141504512.0,640802816.0,596439040.0,4147460.0,82.0,9.091,0.606,86.061,0.0,0.0,4.242
583127040.0,141504512.0,640778240.0,596180992.0,4210392.0,82.0,9.816,0.613,85.276,0.0,0.0,4.294
582950912.0,141504512.0,640778240.0,596357120.0,4268112.0,82.0,10.759,0.633,86.709,0.0,0.0,1.899
582926336.0,141512704.0,640778240.0,596373504.0,4327754.0,82.0,13.043,1.863,82.609,2.484,0.0,0.0
583118848.0,141512704.0,640778240.0,596180992.0,4378634.0,82.0,10.559,1.242,85.714,0.0,0.0,2.484
582942720.0,141512704.0,640778240.0,596357120.0,4427652.0,82.0,9.146,1.220,84.146,0.0,0.0,5.488
583057408.0,141512704.0,640778240.0,596242432.0,4480328.0,82.0,8.589,1.840,84.049,0.0,0.613,4.908
583094272.0,141512704.0,640778240.0,596205568.0,4527560.0,82.0,8.805,0.629,86.164,0.0,0.0,4.403
583049216.0,141520896.0,640790528.0,596230144.0,4585628.0,82.0,35.260,2.312,60.116,0.0,0.0,2.312
582901760.0,141520896.0,640794624.0,596373504.0,4632376.0,124.0,10.759,1.266,85.443,0.0,0.0,2.532
